"Release","Property","freq","count","class"
"2016-09-09","http://schema.org/description",600,44968,"dul-Places"
"2016-09-09","http://schema.org/image",25290,44968,"dul-Places"
"2016-09-09","http://schema.org/interactionCount",11844,44968,"dul-Places"
"2016-09-09","http://schema.org/location",44692,44968,"dul-Places"
"2016-09-09","http://schema.org/openingHours",6281,44968,"dul-Places"
"2016-09-09","http://schema.org/priceRange",60,44968,"dul-Places"
"2016-09-09","http://schema.org/review",10697,44968,"dul-Places"
"2016-09-09","http://schema.org/telephone",35371,44968,"dul-Places"
"2016-09-09","http://schema.org/url",9982,44968,"dul-Places"
"2016-09-09","http://www.3cixty.com/ontology#descriptionScore",44968,44968,"dul-Places"
"2016-09-09","http://www.3cixty.com/ontology#editorialScore",44968,44968,"dul-Places"
"2016-09-09","http://www.3cixty.com/ontology#posterScore",44968,44968,"dul-Places"
"2016-09-09","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",133631,44968,"dul-Places"
"2016-09-09","http://www.w3.org/2000/01/rdf-schema#label",44968,44968,"dul-Places"
"2016-09-09","http://www.w3.org/2002/07/owl#sameAs",43538,44968,"dul-Places"
"2016-09-09","http://www.w3.org/2003/01/geo/wgs84_pos#location",44968,44968,"dul-Places"
"2016-09-09","http://data.ign.fr/def/topo#importance",67,44968,"dul-Places"
"2016-09-09","http://vocab.org/transit/terms/route",2523,44968,"dul-Places"
"2016-09-09","http://www.w3.org/2000/01/rdf-schema#seeAlso",124,44968,"dul-Places"
"2016-09-09","http://3cixty.com/ontology#minDistanceNearestWeatherStation",44968,44968,"dul-Places"
"2016-09-09","http://3cixty.com/ontology#nearestWeatherStation",44968,44968,"dul-Places"
