"","p","dep","number_of_distinct_entity","freq","normFreq","mean","sd","sem"
"172","http://www.w3.org/2000/01/rdf-schema#label","2016-06-15",41018,41018,1,1,0,0
"173","http://www.w3.org/2000/01/rdf-schema#label","2016-09-09",44968,44968,1,1,0,0
"174","http://www.w3.org/2000/01/rdf-schema#label","2016-05-27",25828,25828,1,1,0,0
"175","http://www.w3.org/2000/01/rdf-schema#seeAlso","2016-06-15",41018,122,0.00297430396411332,0.00286591021012995,0.000153291916959803,0.000108393753983362
"176","http://www.w3.org/2000/01/rdf-schema#seeAlso","2016-09-09",44968,124,0.00275751645614659,0.00286591021012995,0.000153291916959803,0.000108393753983362
"177","http://www.w3.org/2002/07/owl#sameAs","2016-04-09",27858,27735,0.995584751238423,0.988915343146899,0.0125684778071225,0.00444362794330446
"178","http://www.w3.org/2002/07/owl#sameAs","2016-03-22",20692,20597,0.995408853663251,0.988915343146899,0.0125684778071225,0.00444362794330446
"179","http://www.w3.org/2002/07/owl#sameAs","2016-03-11",20692,20597,0.995408853663251,0.988915343146899,0.0125684778071225,0.00444362794330446
"180","http://www.w3.org/2002/07/owl#sameAs","2016-05-27",25828,25725,0.996012079913272,0.988915343146899,0.0125684778071225,0.00444362794330446
"181","http://www.w3.org/2002/07/owl#sameAs","2016-06-15",41018,39743,0.968916085620947,0.988915343146899,0.0125684778071225,0.00444362794330446
"182","http://www.w3.org/2002/07/owl#sameAs","2016-09-09",44968,43538,0.968199608610568,0.988915343146899,0.0125684778071225,0.00444362794330446
"183","http://www.w3.org/2002/07/owl#sameAs","2016-05-13",26827,26719,0.995974205091885,0.988915343146899,0.0125684778071225,0.00444362794330446
"184","http://www.w3.org/2002/07/owl#sameAs","2016-05-03",26066,25957,0.99581830737359,0.988915343146899,0.0125684778071225,0.00444362794330446
"185","http://www.w3.org/2003/01/geo/wgs84_pos#location","2016-03-22",20692,20692,1,1,0,0
"186","http://www.w3.org/2003/01/geo/wgs84_pos#location","2016-05-13",26827,26827,1,1,0,0
"187","http://www.w3.org/2003/01/geo/wgs84_pos#location","2016-04-09",27858,27858,1,1,0,0
"188","http://www.w3.org/2003/01/geo/wgs84_pos#location","2016-03-11",20692,20692,1,1,0,0
"189","http://www.w3.org/2003/01/geo/wgs84_pos#location","2016-05-03",26066,26066,1,1,0,0
"190","http://www.w3.org/2003/01/geo/wgs84_pos#location","2016-06-15",41018,41018,1,1,0,0
"191","http://www.w3.org/2003/01/geo/wgs84_pos#location","2016-09-09",44968,44968,1,1,0,0
"192","http://www.w3.org/2003/01/geo/wgs84_pos#location","2016-05-27",25828,25828,1,1,0,0
