"count201504","count201510","count33","count34","count35","count36","count37","count38","count39","count40","count43","id","property"
0,0,0,296,0,0,0,0,0,0,0,1034," http://dbpedia.org/ontology/SoccerPlayer/nationalYears"
0,0,0,579,0,0,0,0,0,0,0,1035," http://dbpedia.org/ontology/SoccerPlayer/years"
0,0,0,281,0,0,0,0,0,0,0,1036," http://dbpedia.org/ontology/SoccerPlayer/youthClub"
0,0,0,142,0,0,0,0,0,0,0,1037," http://dbpedia.org/ontology/SoccerPlayer/youthYears"
0,0,0,70,0,0,0,0,0,0,0,1206," http://dbpedia.org/ontology/TennisPlayer/careerPrizeMoney"
0,0,0,23,0,0,0,0,0,0,0,1207," http://dbpedia.org/ontology/TennisPlayer/country"
0,0,0,72,0,0,0,0,0,0,0,1208," http://dbpedia.org/ontology/TennisPlayer/plays"
0,0,0,1,0,0,0,0,0,0,0,1250," http://dbpedia.org/ontology/Work/author"
0,0,0,2,0,0,0,0,0,0,0,1254," http://dbpedia.org/ontology/Work/genre"
0,0,0,3,0,0,0,0,0,0,0,1255," http://dbpedia.org/ontology/Work/language"
0,0,0,1,0,0,0,0,0,0,0,1258," http://dbpedia.org/ontology/Work/publisher"
0,0,0,2,0,0,0,0,0,0,0,1259," http://dbpedia.org/ontology/Work/releaseDate"
8,11,0,2,0,13,21,32,16,10,8,1260," http://dbpedia.org/ontology/Work/runtime"
0,0,0,1,0,0,0,0,0,0,0,1261," http://dbpedia.org/ontology/Work/subsequentWork"
0,0,0,42,0,0,0,0,0,0,0,1265," http://dbpedia.org/ontology/Wrestler/billed"
0,0,0,61,0,0,0,0,0,0,0,1266," http://dbpedia.org/ontology/Wrestler/debut"
0,0,0,36,0,0,0,0,0,0,0,1267," http://dbpedia.org/ontology/Wrestler/resides"
0,0,0,104,0,0,0,0,0,0,0,1268," http://dbpedia.org/ontology/Wrestler/trainer"
0,0,0,330,0,0,0,0,0,0,0,1271," http://dbpedia.org/ontology/Writer/notableWork"
0,0,0,0,0,1,0,0,0,0,0,1291," http://dbpedia.org/ontology/abbreviation"
1172729,1282025,0,0,48663,296298,821223,986198,1074974,1167919,1165251,1296," http://dbpedia.org/ontology/abstract"
1196,1144,0,51,53,267,463,586,825,1005,1244,1297," http://dbpedia.org/ontology/academicAdvisor"
0,0,0,145,124,242,0,0,0,0,0,1299," http://dbpedia.org/ontology/academyAward"
